message,label
差不多 但先讓妳睡著,正常-normal
回家也是跟我姐互嗆打屁講幹話哈哈哈,正常-normal
是我說跟女生做愛的那個女生,色情-sex word
很少跟異性聊天會聊到這種話題,正常-normal
一個正常女生喜歡男生怎麼會跑去跟女生做愛咧？這不是很奇怪嗎？,正常-normal
這邊基本上你看到sent to跟water,正常-normal
我去洗澡啦�,正常-normal
不做愛,正常-normal
我對約炮沒興趣,正常-normal
哈哈哈 突然間有點赤裸���,色情-sex word
有偷窺的,色情-sex word
我早上都會自己手沖,正常-normal
真的洗澡ㄇ,正常-normal
學長每天打砲？�,色情-sex word
在想要不要起來洗澡了�,正常-normal
反正8.起床我現在還沒洗澡�,正常-normal
愛撫之後是你拒絕繼續嗎,正常-normal
感覺我們明天就可以打炮了,色情-sex word
把人衣服脫光光那種,色情-sex word
我上次洗澡的時候吖,正常-normal
第6年的時候完全沒房事欸,色情-sex word
就大家都想約砲,色情-sex word
剁剁逼人,正常-normal
要來去洗澡了,正常-normal
滾床單嗎,色情-sex word
你會介意床伴關係嗎,色情-sex word
認真的啦 就愛聊色而已 不約出來,色情-sex word
對啊約砲啊,色情-sex word
還會幫你洗澡,色情-sex word
今天會去找人打炮嗎？,色情-sex word
這邊是不是很多已婚的女生？,正常-normal
我也已婚歐 很高興認識ㄋ,正常-normal
社交牛逼症�,正常-normal
喜歡喜歡用精油按摩,色情-sex word
洗完喜歡用精油按摩,色情-sex word
喜歡愛愛嗎,色情-sex word
想當我的小母狗嗎���,色情-sex word
不是什麼事情用做愛就可以解決的好嗎,正常-normal
為什麼一定要跟異性聊天,正常-normal
我每個禮拜都要幫他洗澡欸,正常-normal
就打炮而已很困難,色情-sex word
像我粗肋草死兩次了,正常-normal
啊我今天直接睡過頭：）,正常-normal
"那麼妳的工作，就只有幫獨居老人洗澡而已嗎？
我住在仁武區",正常-normal
乳暈大嗎,色情-sex word
每天做愛呢,色情-sex word
我等等要洗澡也要休息啦,正常-normal
我先洗澡,正常-normal
因為我覺得 手機都是我跟朋友講幹話 啊之類的 對方查 又會看到我說什麼 就很…,正常-normal
我很愛打砲,色情-sex word
沒欸 昨天玩糖果撞擊玩到很晚才去洗澡��,正常-normal
反正就是有發生過一夜情這樣ʕ •ᴥ•ʔ,色情-sex word
他那個麵看起來也好牛逼喔,正常-normal
不約砲吧,色情-sex word
等等抽血 樣品就在桌上妳就一直找不到我絕對笑爆你,正常-normal
啊我洗澡好啦,正常-normal
我在想要不要洗澡,正常-normal
老公嫖妓完回家 老婆要跟他行房 他會跟老婆說什麼,色情-sex word
學長好色��,色情-sex word
我覺得打砲還是跟另一半最好,色情-sex word
差點睡過頭放鴿子了�,正常-normal
你現在已經有床伴了嗎,色情-sex word
按摩的,色情-sex word
在準備洗澡,正常-normal
啊他不洗澡會臭臭的嗎,正常-normal
你一直不願意說是否結婚過或是有沒有單身、有沒有懷孕過，是不是你其實已婚啊,正常-normal
但按摩棒沒有溫度,色情-sex word
乳夾之類的,色情-sex word
"當時找他是回洗澡時間不會超過1.
但住後都變了樣
而且室友洗碗懶到",正常-normal
做臉按摩的,正常-normal
哈哈哈 自己說自己是幹話王,正常-normal
牛逼ㄚ,正常-normal
等等要洗澡了,正常-normal
超口愛,正常-normal
泰國最好的按摩好便宜,正常-normal
就是這個社會形形色色的人很多,正常-normal
你不會想按摩嗎,色情-sex word
學姊需要按摩嗎,色情-sex word
你接受約砲嗎,色情-sex word
我有潤滑液,色情-sex word
哈哈沒關係啦我想睡妳也累了,正常-normal
以前疫情的時候你應該也被操很慘吧,色情-sex word
我要去洗澡,正常-normal
妳洗澡嗎,正常-normal
可以先洗澡,正常-normal
洗澡時有沒有想我啊,色情-sex word
下班洗澡洗好了,正常-normal
我也喜歡大棒棒,色情-sex word
不小心睡過,正常-normal
整個撤完場殺去按摩,正常-normal
跟我打砲的歷任基本上是沒有說過不合啦,色情-sex word
讚歐 不喜歡被管 不喜歡愛愛,色情-sex word
基本上都變成約砲軟體,正常-normal
"嗨嗨
我想找一夜情或跑友關係
可以接受的話我們再好好聊�",色情-sex word
在洗澡是不是,正常-normal
所以也投給按摩一票,色情-sex word
師傅：「所以你克服看看那種怕癢的感覺，你會覺得按摩很舒服」,正常-normal
笑鼠�也是啦，不用怕餓肚子煩腦錢不夠，我還以為是家人逼妳要讀的勒�,正常-normal
趕我去洗澡,正常-normal
要不要去按摩,色情-sex word
你不給我看你洗澡,色情-sex word
可惡剛剛錯過了洗澡畫面,色情-sex word
如果妳不介意來我家按摩.我在把地址給妳在約時間過來找我按摩。,色情-sex word
嗯嗯～給你按摩,色情-sex word
我只是不想一直廢在家裡才逼自己出門,正常-normal
妳要趕回家煮晚餐就不ㄧ起吃飯了！按摩時間太趕會有壓力。,正常-normal
乾媽還是～,正常-normal
那寶貝要怎麼色色,色情-sex word
幫妳按摩,色情-sex word
不要睡過頭了喔,正常-normal
"我還故意鬧他
要讓他勃起",色情-sex word
好啦沒關係，不一定要打炮,色情-sex word
三年半沒性生活 他真的要看醫生欸,色情-sex word
我剛剛昏迷完去洗澡了,正常-normal
有一個同事很雞掰,正常-normal
不可能還有健康的器官！！！,正常-normal
剛要準備洗澡,正常-normal
大綁阿是原住民語的大懶覺,正常-normal
洗澡,正常-normal
雖然可以守財 但是我不太想把別人的蛋蛋放在我身邊就是了,色情-sex word
不知道有沒有胸�,色情-sex word
抽插妳可愛的嘴嘴,色情-sex word
而且同事看到在那邊 矮額 約砲喔之類的幹話,色情-sex word
要去洗澡呀那妳等我喔,色情-sex word
太赤裸,色情-sex word
哈哈哈 怎麼赤裸,色情-sex word
"我其實也滿愛講幹話的�
只是感情的事怕開大了會出事�",正常-normal
平日晚上你能嗎,正常-normal
我覺得做愛是看彼此身體的契合度,色情-sex word
結束後直接跑去腳底按摩,正常-normal
明明就只是按摩,正常-normal
我也想跟你做愛,色情-sex word
竟然喜歡吃茄子,正常-normal
到了 我要去洗澡了,正常-normal
我開玩笑啦�直接看洗澡超色的�,色情-sex word
前幾天吃香腸拉肚子太快了,正常-normal
按摩好像可以考慮下�️,正常-normal
還可以洗澡,正常-normal
拍打庭色色的乳暈,色情-sex word
都不做愛,正常-normal
放鬆舒壓可能就去按摩放空吃東西之類的,正常-normal
我先洗澡洗香香去找你給你聞頭皮,色情-sex word
